Order,,,Tag Code,,,Reader,Mux,RSSI,,Time
51912,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52E+12,1520473476
51913,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52E+12,1520473476
51914,TAG_READ,,c50000000000000000000048,,,1,3,-71,1.52E+12,1520473476
51915,TAG_READ,,c50000000000000000000235,,,1,2,-74,1.52E+12,1520473477
51916,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473477
51917,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473477
51918,TAG_READ,,c50000000000000000000235,,,1,4,-71,1.52E+12,1520473477
51919,TAG_READ,,c50000000000000000000315,,,1,4,-70,1.52E+12,1520473477
51920,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51922,TAG_ALARM,EPC_EAS,c50000000000000000000334,,,1,,,1.52E+12,1520473475
51923,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473476
51923,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52E+12,1520473477
51924,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473477
51925,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51926,TAG_READ,,c50000000000000000000765,,,1,1,-71,1.52E+12,1520473477
51927,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473477
51928,TAG_READ,,c50000000000000000000048,,,1,3,-70,1.52E+12,1520473477
51929,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52E+12,1520473478
51930,TAG_READ,,c50000000000000000000048,,,1,1,-63,1.52E+12,1520473478
51931,TAG_READ,,c50000000000000000000048,,,1,3,-70,1.52E+12,1520473478
51932,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473478
51933,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473478
51934,TAG_READ,,c50000000000000000000315,,,1,4,-69,1.52E+12,1520473478
51935,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473478
51936,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473478
51937,TAG_READ,,c50000000000000000000048,,,1,2,-67,1.52E+12,1520473478
51938,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473478
51939,TAG_READ,,c50000000000000000000235,,,1,4,-68,1.52E+12,1520473479
51940,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473479
51941,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473479
51942,TAG_READ,,c50000000000000000000048,,,1,1,-68,1.52E+12,1520473479
51944,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473478
51944,TAG_READ,,c50000000000000000000048,,,1,4,-60,1.52E+12,1520473479
51945,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473479
51946,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473479
51947,TAG_READ,,c50000000000000000000048,,,1,2,-70,1.52E+12,1520473480
51948,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52E+12,1520473480
51949,TAG_READ,,c50000000000000000000292,,,1,1,-69,1.52E+12,1520473480
51950,TAG_READ,,c50000000000000000000235,,,1,3,-71,1.52E+12,1520473480
51951,TAG_READ,,c50000000000000000000048,,,1,2,-69,1.52E+12,1520473480
51952,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52E+12,1520473480
51953,TAG_READ,,c50000000000000000000292,,,1,4,-70,1.52E+12,1520473480
51954,TAG_READ,,c50000000000000000000048,,,1,1,-67,1.52E+12,1520473480
