Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
37394,TAG_READ,,c50000000000000000000828,,,1,4,-66,1.52045E+12,450690
37395,TAG_READ,,c50000000000000000000334,,,1,3,-72,1.52045E+12,450690
37396,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52045E+12,450690
37397,TAG_READ,,c50000000000000000000765,,,1,1,-68,1.52045E+12,450690
37398,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52045E+12,450690
37399,TAG_READ,,c50000000000000000000155,,,1,1,-74,1.52045E+12,450691
37400,TAG_READ,,c50000000000000000000352,,,1,1,-68,1.52045E+12,450691
37401,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52045E+12,450691
37402,TAG_READ,,c50000000000000000000503,,,1,1,-70,1.52045E+12,450691
37403,TAG_READ,,c50000000000000000000654,,,1,1,-73,1.52045E+12,450691
37404,TAG_READ,,c50000000000000000000507,,,1,1,-76,1.52045E+12,450691
37405,TAG_READ,,083056003e86d2e43c03b5fe27a00400,,,1,1,-71,1.52045E+12,450691
37406,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,1,-70,1.52045E+12,450691
37407,TAG_READ,,c50000000000000000000323,,,1,1,-71,1.52045E+12,450691
37408,TAG_READ,,c50000000000000000000334,,,1,1,-65,1.52045E+12,450691
37409,TAG_READ,,c50000000000000000000859,,,1,1,-67,1.52045E+12,450691
37410,TAG_READ,,abacab000000000000000115,,,1,1,-71,1.52045E+12,450691
37411,TAG_READ,,c50000000000000000000710,,,1,1,-67,1.52045E+12,450691
37412,TAG_READ,,c50000000000000000000444,,,1,1,-74,1.52045E+12,450691
37413,TAG_READ,,c50000000000000000000044,,,1,1,-66,1.52045E+12,450691
37414,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52045E+12,450691
37415,TAG_READ,,c50000000000000000000027,,,1,1,-72,1.52045E+12,450691
37416,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52045E+12,450691
37417,TAG_READ,,c50000000000000000000655,,,1,1,-74,1.52045E+12,450691
37418,TAG_READ,,c50000000000000000000623,,,1,1,-72,1.52045E+12,450691
37419,TAG_READ,,c50000000000000000000803,,,1,1,-71,1.52045E+12,450691
37420,TAG_READ,,c50000000000000000000155,,,1,1,-75,1.52045E+12,450691
37421,TAG_READ,,c50000000000000000000500,,,1,1,-71,1.52045E+12,450691
37422,TAG_READ,,c50000000000000000000315,,,1,1,-70,1.52045E+12,450691
37423,TAG_READ,,c50000000000000000000710,,,1,4,-65,1.52045E+12,450691
